Year,Votes,Aitkin,Anoka,Becker,Beltrami,Benton,Big Stone,Blue Earth,Brown,Carlton,Carver,Cass,Chippewa,Chisago,Clay,Clearwater,Cook,Cottonwood,Crow Wing,Dakota,Dodge,Douglas,Faribault,Fillmore,Freeborn,Goodhue,Grant,Hennepin,Houston,Hubbard,Isanti,Itasca,Jackson,Kanabec,Kandiyohi,Kittson,Koochiching,Lac qui Parle,Lake,Lake of the Woods,Le Sueur,Lincoln,Lyon,McLeod,Mahnomen,Marshall,Martin,Meeker,Mille Lacs,Morrison,Mower,Murray,Nicollet,Nobles,Norman,Olmsted,Otter Tail,Pennington,Pine,Pipestone,Polk,Pope,Ramsey,Red Lake,Redwood,Renville,Rice,Rock,Roseau,St. Louis,Scott,Sherburne,Sibley,Stearns,Steele,Stevens,Swift,Todd,Traverse,Wabasha,Wadena,Waseca,Washington,Watonwan,Wilkin,Winona,Wright,Yellow Medicine,District
2014,240709,7307,118274,12124,15567,13292,2161,20201,9394,13970,37124,12364,4696,20364,18020,2937,2948,4330,27065,152975,7765,15451,5460,8476,12526,17354,2888,451840,7995,8757,13991,19117,3905,6292,16802,1974,5406,2998,5165,1930,9788,2368,8423,12495,1754,4164,7932,9236,9032,13107,11931,3580,11829,6109,2490,50733,22325,5183,10504,3909,9885,4990,181593,1491,5578,5783,21583,3195,5461,81928,45324,30638,6086,51662,12645,4284,4159,8959,1564,8469,5157,6616,96276,3734,2354,16029,45007,4019,5
2014,240697,7307,118274,12124,15567,13292,2161,20201,9394,13970,37124,12364,4696,20364,18020,2937,2948,4330,27065,152975,7765,15451,5460,8476,12526,17354,2888,451840,7995,8757,13991,19117,3905,6292,16802,1974,5406,2998,5165,1930,9788,2368,8423,12495,1754,4164,7932,9236,9032,13107,11931,3580,11829,6109,2490,50733,22325,5183,10504,3909,9885,4990,181593,1491,5578,5783,21583,3195,5461,81928,45324,30638,6086,51662,12645,4284,4159,8959,1564,8469,5157,6616,96276,3734,2354,16029,45007,4019,6
2014,244791,7307,118274,12124,15567,13292,2161,20201,9394,13970,37124,12364,4696,20364,18020,2937,2948,4330,27065,152975,7765,15451,5460,8476,12526,17354,2888,451840,7995,8757,13991,19117,3905,6292,16802,1974,5406,2998,5165,1930,9788,2368,8423,12495,1754,4164,7932,9236,9032,13107,11931,3580,11829,6109,2490,50733,22325,5183,10504,3909,9885,4990,181593,1491,5578,5783,21583,3195,5461,81928,45324,30638,6086,51662,12645,4284,4159,8959,1564,8469,5157,6616,96276,3734,2354,16029,45007,4019,7
2014,268680,7307,118274,12124,15567,13292,2161,20201,9394,13970,37124,12364,4696,20364,18020,2937,2948,4330,27065,152975,7765,15451,5460,8476,12526,17354,2888,451840,7995,8757,13991,19117,3905,6292,16802,1974,5406,2998,5165,1930,9788,2368,8423,12495,1754,4164,7932,9236,9032,13107,11931,3580,11829,6109,2490,50733,22325,5183,10504,3909,9885,4990,181593,1491,5578,5783,21583,3195,5461,81928,45324,30638,6086,51662,12645,4284,4159,8959,1564,8469,5157,6616,96276,3734,2354,16029,45007,4019,8
2016,346854,9316,187070,17375,21718,20222,2790,33816,13925,18374,56156,16154,6284,30425,29685,4276,3437,5786,36148,233346,10734,21965,7480,11177,16195,25929,3522,685043,10724,11627,21149,24455,5558,8232,21970,2434,6435,3920,6562,2269,15096,3046,12310,18945,2116,4905,10613,12386,13111,17756,17930,4740,18251,8769,3315,80736,32788,6776,13954,4847,14962,6368,274780,1915,7703,7687,32691,4908,7883,113351,75474,48533,7841,80202,19352,5468,5071,12073,1823,11938,7011,9749,145263,5067,3342,26309,70122,5322,1
2016,384539,9316,187070,17375,21718,20222,2790,33816,13925,18374,56156,16154,6284,30425,29685,4276,3437,5786,36148,233346,10734,21965,7480,11177,16195,25929,3522,685043,10724,11627,21149,24455,5558,8232,21970,2434,6435,3920,6562,2269,15096,3046,12310,18945,2116,4905,10613,12386,13111,17756,17930,4740,18251,8769,3315,80736,32788,6776,13954,4847,14962,6368,274780,1915,7703,7687,32691,4908,7883,113351,75474,48533,7841,80202,19352,5468,5071,12073,1823,11938,7011,9749,145263,5067,3342,26309,70122,5322,2
2016,405198,9316,187070,17375,21718,20222,2790,33816,13925,18374,56156,16154,6284,30425,29685,4276,3437,5786,36148,233346,10734,21965,7480,11177,16195,25929,3522,685043,10724,11627,21149,24455,5558,8232,21970,2434,6435,3920,6562,2269,15096,3046,12310,18945,2116,4905,10613,12386,13111,17756,17930,4740,18251,8769,3315,80736,32788,6776,13954,4847,14962,6368,274780,1915,7703,7687,32691,4908,7883,113351,75474,48533,7841,80202,19352,5468,5071,12073,1823,11938,7011,9749,145263,5067,3342,26309,70122,5322,3
2016,370000,9316,187070,17375,21718,20222,2790,33816,13925,18374,56156,16154,6284,30425,29685,4276,3437,5786,36148,233346,10734,21965,7480,11177,16195,25929,3522,685043,10724,11627,21149,24455,5558,8232,21970,2434,6435,3920,6562,2269,15096,3046,12310,18945,2116,4905,10613,12386,13111,17756,17930,4740,18251,8769,3315,80736,32788,6776,13954,4847,14962,6368,274780,1915,7703,7687,32691,4908,7883,113351,75474,48533,7841,80202,19352,5468,5071,12073,1823,11938,7011,9749,145263,5067,3342,26309,70122,5322,4
2016,376895,9316,187070,17375,21718,20222,2790,33816,13925,18374,56156,16154,6284,30425,29685,4276,3437,5786,36148,233346,10734,21965,7480,11177,16195,25929,3522,685043,10724,11627,21149,24455,5558,8232,21970,2434,6435,3920,6562,2269,15096,3046,12310,18945,2116,4905,10613,12386,13111,17756,17930,4740,18251,8769,3315,80736,32788,6776,13954,4847,14962,6368,274780,1915,7703,7687,32691,4908,7883,113351,75474,48533,7841,80202,19352,5468,5071,12073,1823,11938,7011,9749,145263,5067,3342,26309,70122,5322,5
2016,376481,9316,187070,17375,21718,20222,2790,33816,13925,18374,56156,16154,6284,30425,29685,4276,3437,5786,36148,233346,10734,21965,7480,11177,16195,25929,3522,685043,10724,11627,21149,24455,5558,8232,21970,2434,6435,3920,6562,2269,15096,3046,12310,18945,2116,4905,10613,12386,13111,17756,17930,4740,18251,8769,3315,80736,32788,6776,13954,4847,14962,6368,274780,1915,7703,7687,32691,4908,7883,113351,75474,48533,7841,80202,19352,5468,5071,12073,1823,11938,7011,9749,145263,5067,3342,26309,70122,5322,6
2016,342584,9316,187070,17375,21718,20222,2790,33816,13925,18374,56156,16154,6284,30425,29685,4276,3437,5786,36148,233346,10734,21965,7480,11177,16195,25929,3522,685043,10724,11627,21149,24455,5558,8232,21970,2434,6435,3920,6562,2269,15096,3046,12310,18945,2116,4905,10613,12386,13111,17756,17930,4740,18251,8769,3315,80736,32788,6776,13954,4847,14962,6368,274780,1915,7703,7687,32691,4908,7883,113351,75474,48533,7841,80202,19352,5468,5071,12073,1823,11938,7011,9749,145263,5067,3342,26309,70122,5322,7
2016,365730,9316,187070,17375,21718,20222,2790,33816,13925,18374,56156,16154,6284,30425,29685,4276,3437,5786,36148,233346,10734,21965,7480,11177,16195,25929,3522,685043,10724,11627,21149,24455,5558,8232,21970,2434,6435,3920,6562,2269,15096,3046,12310,18945,2116,4905,10613,12386,13111,17756,17930,4740,18251,8769,3315,80736,32788,6776,13954,4847,14962,6368,274780,1915,7703,7687,32691,4908,7883,113351,75474,48533,7841,80202,19352,5468,5071,12073,1823,11938,7011,9749,145263,5067,3342,26309,70122,5322,8
