COUNTYNAME,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,Hispanic or Latino (of any race),Proportion White,Proportion Black or African American,Proportion American Indian and Alaska Native,Proportion Asian,Proportion Native Hawaiian and Other Pacific Islander,Proportion Some other race,Proportion Two or more races,Proportion Hispanic or Latino (of any race),Year,Turnout,Votes,Votes_R,Votes_DFL,Turnout_R,Turnout_DFL,TotalPop,FemaleProp,Midterms
Norman,6172,50,98,31,14,61,212,320,0.92979813196746,0.007532389273877674,0.014763482976800241,0.004670081349804157,0.0021090689966857487,0.009189514914130762,0.031937330521241335,0.04820729135281712,2010,0.5200849748937814,2693,526,2005,0.10158362302047122,0.3872151409810738,5178,0.5077249903437621,1
Olmsted,127969,7903,418,8948,14,1495,3357,6957,0.8525355753344348,0.05265016255396258,0.0027847359164312737,0.05961200234504078,9.32686670575068e-05,0.009959761232212332,0.022364493950860737,0.04634786547993392,2010,0.5150258683720973,55647,25362,26441,0.23473118180051275,0.2447175766101789,108047,0.5186354086647478,1
Otter Tail,55163,782,206,377,7,449,710,1791,0.9561306201684749,0.013554269074773806,0.003570561930183381,0.006534474988733664,0.00012132977432661975,0.007782438381807468,0.012306305681700005,0.03104308940271085,2010,0.5612322232624493,25178,10570,12533,0.23561143060942447,0.2793678391511747,44862,0.5031875529401275,1
Pennington,13268,234,209,108,42,57,238,479,0.937270415371574,0.016530093246679853,0.01476405764340209,0.007629273806159931,0.0029669398135066397,0.004026561175473298,0.016812658943204294,0.03383724215880192,2010,0.4510190664036818,4802,1578,2938,0.148210763595379,0.27594627594627597,10647,0.5115055884286653,1
Pine,26585,615,705,149,13,177,823,803,0.9146110709739568,0.021158014242955932,0.024254309010217773,0.005126088003577941,0.0004472425774933773,0.006089379708948292,0.02831389548284997,0.027625829979014003,2010,0.47539778623313733,10995,5551,4719,0.24001210653753027,0.20403839501902457,23128,0.4599187132480111,1
Pipestone,8609,125,124,91,0,121,215,491,0.9271943995691976,0.013462574044157244,0.013354873451803985,0.009800753904146474,0.0,0.013031771674744213,0.023155627355950455,0.05288099084544965,2010,0.5012468827930174,3618,2024,1287,0.2804100858963702,0.17830423940149626,7218,0.5203657522859518,1
Polk,29368,446,373,240,16,318,789,1880,0.9308399366085578,0.014136291600633916,0.011822503961965134,0.007606973058637084,0.0005071315372424723,0.010079239302694136,0.02500792393026941,0.0595879556259905,2010,0.45146979559683237,10889,3241,7080,0.1343753886977072,0.29354450847879265,24119,0.5023840126041711,1
Pope,10679,49,47,38,0,57,105,130,0.9730296127562642,0.004464692482915718,0.0042824601366742605,0.0034624145785876995,0.0,0.0051936218678815494,0.009567198177676536,0.01184510250569476,2010,0.612318003235498,5299,1607,2976,0.18569447654263924,0.34388721978275943,8654,0.4995377859949157,1
Ramsey,363250,59572,3401,72239,174,10430,22462,38985,0.6834070829758734,0.11207688023961107,0.0063985340377176745,0.13590817416956394,0.0003273581071928478,0.01962267274724944,0.04225929772279165,0.07334514832708719,2010,0.49387882557404406,192955,62620,114553,0.16027929857970324,0.29320463893645393,390693,0.5233802499660859,1
Red Lake,3846,23,66,12,0,27,68,129,0.9515091538842158,0.005690252350321623,0.01632855022266205,0.002968827313211281,0.0,0.0066798614547253846,0.016823354774863932,0.031914893617021274,2010,0.52734375,1620,376,1152,0.12239583333333333,0.375,3072,0.490234375,1
